Project ID	Project Path	Project Type	Stage	Status	Completion Status	Purpose	Scope	ML1 Authority Statement	Explicit Prohibitions	Last ML1 Review Date
LLP-018	04_RISK/LLP-018	Management	Initiating	on track		Govern Levine Law's financial risk visibility and escalation across revenue concentration, cash timing, margin pressure, acquisition spend, and related financial exposures.	In: financial risk categories, thresholds, review framing, and escalation boundaries; Out: accounting recordkeeping, price-setting, profitability declarations, and autonomous financial decisions.	ML1 is the sole authority for interpretation, escalation response, and any control decisions arising from financial-risk review.	No autonomous compliance declarations, issue closure, control waivers, price-setting, or financial decisions without ML1 approval.	Not specified
LLP-003	05_MATTER_DOCKETING/LLP-003	Operational	Initiating	on track		Govern the weekly delivery-facing matter report so ML1 receives a bounded summary of docketing state, activity periods, blockers, and next actions without altering source-of-truth systems.	In: weekly reporting structure, cadence, and read-only delivery visibility for existing matters; Out: billing, accounting, intake, marketing, or autonomous source-of-truth changes.	ML1 is the sole authority for report scope, escalation use, and any decisions taken from the weekly report.	No billing/accounting modeling; no intake or CRM work; no autonomous changes to source-of-truth records; no acceptance or prioritization decisions by the report itself.	Not specified
LLP-009	05_MATTER_DOCKETING/LLP-009	Operational	Initiating	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: delivery/docketing overlay for existing matters only; excludes billing, accounting, intake, and sales.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No billing/accounting modeling; no intake/CRM work; no autonomous changes to source-of-truth records.	Not specified
LLP-010	05_MATTER_DOCKETING/LLP-010	Operational	Initiating	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: delivery/docketing overlay for existing matters only; excludes billing, accounting, intake, and sales.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No billing/accounting modeling; no intake/CRM work; no autonomous changes to source-of-truth records.	Not specified
LLP-002	06_FINANCIAL_PORTFOLIO/LLP-002	Management	Initiating	on track		Govern Levine Law's budget scenarios and financial-constraint modeling so ML1 can review revenue, spend, margin, and operating assumptions without turning the packet into price-setting or execution authority.	In: budget scenarios, revenue/cost/acquisition/overhead/margin modeling, financial constraints, and downstream strategy links; Out: accounting fact maintenance, price-setting, discount approvals, profitability declarations, and auto-application to operations.	ML1 is the sole authority for interpretation, approval, and any decision that uses budget or scenario outputs.	No price-setting, discount approvals, profitability declarations, or auto-application of model outputs into operations or sales.	Not specified
LLP-031	07_GROWTH_PROJECTS/LLP-031	Strategic	Initiating	draft		Placeholder project slot. Awaiting ML1-defined scope and intent.	In: To be defined by ML1; Out: Execution without ML1 approval.	ML1 is the sole authority to define, approve, and activate this project.	Execute work under this project without ML1 approval; Publish outputs as firm policy; Merge this project into operations without explicit authorization	Not yet reviewed
LLP-032	07_GROWTH_PROJECTS/LLP-032	Strategic	Initiating	draft		Placeholder project slot. Awaiting ML1-defined scope and intent.	In: To be defined by ML1; Out: Execution without ML1 approval.	ML1 is the sole authority to define, approve, and activate this project.	Execute work under this project without ML1 approval; Publish outputs as firm policy; Merge this project into operations without explicit authorization	Not yet reviewed
LLP-033	07_GROWTH_PROJECTS/LLP-033	Strategic	Initiating	draft		Placeholder project slot. Awaiting ML1-defined scope and intent.	In: To be defined by ML1; Out: Execution without ML1 approval.	ML1 is the sole authority to define, approve, and activate this project.	Execute work under this project without ML1 approval; Publish outputs as firm policy; Merge this project into operations without explicit authorization	Not yet reviewed
LLP-034	07_GROWTH_PROJECTS/LLP-034	Strategic	Initiating	draft		Define Partner Supervision success metrics, establish monitoring of partner output, and enable the system to track managing lawyer capacity limits.	In: Success metrics definition for managing partner output; Out: Execution without ML1 approval.	ML1 is the sole authority to define, approve, and activate this project.	Execute changes without ML1 approval; Publish outputs as firm policy; Merge this project into operations without explicit authorization	Not yet reviewed
LLP-023	07_GROWTH_PROJECTS/LLP-023	Strategic	Planning	on track		Stand up a deterministic matter command layer that uses Clio, SharePoint, and Gmail as systems of record while producing daily admin and intelligence artifacts inside ML2.	In: Daily firm-level digest generation; Out: Replacing Clio, SharePoint, or Gmail records.	ML1 is the sole authority to approve rule changes, escalation policy, and promotion to production governance.	Treat ML2 artifacts as source-of-truth matter status; Persist full-source replicas beyond approved cache snapshots; Emit assertions without source pointers	Not specified
LLP-024	07_GROWTH_PROJECTS/LLP-024	Strategic	Executing	on track		Define and launch an AI-powered NDA review SaaS project spanning product, customer acquisition, and operating performance workstreams.	In: NDA review product launch, acquisition channels, and performance monitoring; Out: manual contract drafting, untargeted campaigns, and unapproved legal consultation features.	ML1 is the sole authority to define, approve, and activate this project.	Execute work under this project without ML1 approval; Publish outputs as firm policy; Merge this project into operations without explicit authorization; Treat the base product as approved legal consultation	2026-03-14
LLP-030	07_GROWTH_PROJECTS/LLP-030	Strategic	Initiating	on track		Establish the governed Firm Strategy and supporting Business Plan that define the firm's direction, acquisition architecture, and financial model.	In: firm strategy, business plan, financial model, and alignment with LLP-002/011/012/025; Out: day-to-day operations and individual project execution.	ML1 is the sole authority for all Firm Strategy and Business Plan decisions, approvals, and stage advancement.	Do not treat this project as authority for downstream execution without ML1 approval; Do not use strategy drafts as operating policy; Do not merge unapproved plan outputs into operations	2026-03-17
LLP-011	08_MARKETING/LLP-011	Management	Executing	on track		Funnel 01 execution is authorized for the current-state Google Ads acquisition funnel; live run governance now requires active execution artifacts and measurement follow-through.	Inherited domain scope: pre-matter lead capture/intake/conversion (handoff then enters fulfillment onboarding); excludes legal delivery and post-open matter work.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No legal delivery work, no Clio matter creation, and no autonomous acceptance/rejection of work.	2026-03-16
LLP-012	08_MARKETING/LLP-012	Management	Planning	on track		Funnel 02 initiation is approved and planning is authorized; execution remains gated until the canonical planning packet is complete and ML1 closes Planning -> Executing.	Inherited domain scope: pre-matter lead capture/intake/conversion (handoff then enters fulfillment onboarding); excludes legal delivery and post-open matter work.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No legal delivery work, no Clio matter creation, and no autonomous acceptance/rejection of work.	2026-03-16
LLP-013	08_MARKETING/LLP-013	Management	Planning	watch		Funnel 03 management has cleared the Initiating -> Planning gate; planning-stage control and measurement packaging are in progress pending completion of the canonical planning packet.	Inherited domain scope: pre-matter lead capture/intake/conversion (handoff then enters fulfillment onboarding); excludes legal delivery and post-open matter work.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No legal delivery work, no Clio matter creation, and no autonomous acceptance/rejection of work.	2026-03-15
LLP-014	08_MARKETING/LLP-014	Management	Planning	on track		Placeholder project container. Awaiting ML1-defined scope and intent.	Inherited domain scope: pre-matter lead capture/intake/conversion (handoff then enters fulfillment onboarding); excludes legal delivery and post-open matter work.	Inherited LL portfolio rule: ML1 is sole authority for judgment, approval, and activation.	No legal delivery work, no Clio matter creation, and no autonomous acceptance/rejection of work.	Not specified
LLP-025	08_MARKETING/LLP-025	Management	Planning	watch		Governs Levine Law's market positioning, objectives, goals, and overall marketing strategy across funnels, lead capture, and intake.	In: positioning, marketing objectives, KPI framework, strategy, and agent architecture; Out: funnel-specific execution, lead-capture operations, and intake execution.	ML1 approval is required for scope, changes, and any execution commitments.	Do not treat planning artifacts as approved operating instruction; Do not execute external actions without ML1 approval.	2026-03-17
LLP-026	08_MARKETING/LLP-026	Management	Unstaged	draft		Governs lead capture operations across all marketing funnels, bridging traffic sources to the intake pipeline.	In: landing pages, lead magnets, opt-ins, and top-of-funnel conversion assets; Out: approved operating instruction or external execution from this stub.	ML1 approval is required for scope, changes, and any execution commitments.	Do not treat this stub as approved operating instruction; Do not execute external actions based on this stub.	2026-03-17
LLP-027	08_MARKETING/LLP-014/LLP-027	Management	Unstaged	draft		Manages the first stage of the intake pipeline: receipt, triage, and initial response to incoming client inquiries.	In: inquiry handling and triage; Out: approved operating instruction or external execution from this stub.	ML1 approval is required for scope, changes, and any execution commitments.	Do not treat this stub as approved operating instruction; Do not execute external actions based on this stub.	2026-03-17
LLP-028	08_MARKETING/LLP-014/LLP-028	Management	Unstaged	draft		Manages consultation scheduling, conduct, and conversion from prospect to retained client.	In: consult-stage intake flow; Out: approved operating instruction or external execution from this stub.	ML1 approval is required for scope, changes, and any execution commitments.	Do not treat this stub as approved operating instruction; Do not execute external actions based on this stub.	2026-03-17
LLP-029	08_MARKETING/LLP-014/LLP-029	Management	Unstaged	draft		Manages the marketing-side onboarding experience from signed retainer through matter activation, alongside LLP-004 as the operational counterpart.	In: client-facing onboarding communications, materials, and expectation-setting; Out: approved operating instruction or external execution from this stub.	ML1 approval is required for scope, changes, and any execution commitments.	Do not treat this stub as approved operating instruction; Do not execute external actions based on this stub.	2026-03-17
LLP-046	LLP-046	Management	Initiating	on track		Maintain a controlled service-tier view across matters and services.	In: Tier categorization and tracking for service posture.; Out: Replacing Clio, Gmail, or SharePoint source-of-truth records.	ML1 is the sole authority for service-tier definitions, tier assignment policy, and tier changes.	Do not treat this folder as source-of-truth for matter registry or document control.; Do not auto-promote or auto-demote services between tiers.; Do not publish external outputs from this folder without ML1 approval.	2026-03-07
ESSENTIAL	LLP-046/LLP-047	Management	Initiating	on track		Track services currently classified as ESSENTIAL.	In: Service records assigned to ESSENTIAL.; Out: Autonomous tier reassignment.	ML1 approval is required for any tier assignment or tier change.	Do not use this folder to override matter-level authority.; Do not treat draft notes as approved policy.	2026-03-07
STRATEGIC	LLP-046/LLP-048	Management	Initiating	on track		Track services currently classified as STRATEGIC.	In: Service records assigned to STRATEGIC.; Out: Autonomous tier reassignment.	ML1 approval is required for any tier assignment or tier change.	Do not use this folder to override matter-level authority.; Do not treat draft notes as approved policy.	2026-03-07
STANDARD	LLP-046/LLP-040	Management	Initiating	on track		Track services currently classified as STANDARD.	In: Service records assigned to STANDARD.; Out: Autonomous tier reassignment.	ML1 approval is required for any tier assignment or tier change.	Do not use this folder to override matter-level authority.; Do not treat draft notes as approved policy.	2026-03-07
PARKED	LLP-046/LLP-041	Management	Initiating	on track		Track services currently classified as PARKED.	In: Service records assigned to PARKED.; Out: Autonomous tier reassignment.	ML1 approval is required for any tier assignment or tier change.	Do not use this folder to override matter-level authority.; Do not treat draft notes as approved policy.	2026-03-07
